group;friendlyName;description;target;rights
OptionallyAcnedLunations;OptionallyAcnedLunations;Scabs Thrip to the places;OptionallyAcnedLunationsPLACE;STEW,WRITE,RENAME,STROKE
BedwardMachinableRisklessness;BedwardMachinableRisklessness;Single-steps Stock-taking to the repositorys;BedwardMachinableRisklessnessREPOSITORY;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
TenablyDistalKikuyus;TenablyDistalKikuyus;Guaranties Festoons to the lodgingss;TenablyDistalKikuyusLODGINGS;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
InadvertentlyTunisianCoeds;InadvertentlyTunisianCoeds;Lies Counterproofs to the caches;InadvertentlyTunisianCoedsCACHE;READ,WRITE,RENAME
ExpressionlesslyPhotolithographicEarwigs;ExpressionlesslyPhotolithographicEarwigs;Regrates Pacific sardine to the vaults;ExpressionlesslyPhotolithographicEarwigsVAULT;STROKE,WRITE,RENAME
SinginglyQuarterBoundIntrigantes;SinginglyQuarterBoundIntrigantes;Disburthens Hen harrier to the storing places;SinginglyQuarterBoundIntrigantesSTORING PLACE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
AheadThanklessEggshells;AheadThanklessEggshells;Sketches Breeches to the places;AheadThanklessEggshellsPLACE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
VeritablyWellDerivedPipuls;VeritablyWellDerivedPipuls;Decontrols Turnsole to the treasure houses;VeritablyWellDerivedPipulsTREASURE HOUSE;OBSERVE,WRITE,RENAME,STROKE,PUNCH
TriangularlyTrumpedUpTorses;TriangularlyTrumpedUpTorses;Ensanguines Tarquin to the warehouses;TriangularlyTrumpedUpTorsesWAREHOUSE;STEW,WRITE,RENAME
UphillScotsProprieties;UphillScotsProprieties;Shanks Geminian to the territorys;UphillScotsProprietiesTERRITORY;LICK,WRITE,RENAME,STROKE
ManifestlyUncaredForLosers;ManifestlyUncaredForLosers;Shadows Absorbate to the archives;ManifestlyUncaredForLosersARCHIVE;FIST,WRITE,RENAME,STROKE
BoltUnmoralizingManDays;BoltUnmoralizingManDays;Outfaces Liang to the treasurys;BoltUnmoralizingManDaysTREASURY;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
InANutshellImperturbableObservatories;InANutshellImperturbableObservatories;Unthreads Masurium to the repositorys;InANutshellImperturbableObservatoriesREPOSITORY;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
CaressinglyIllSpentTailbacks;CaressinglyIllSpentTailbacks;Revets Soft diet to the undercrofts;CaressinglyIllSpentTailbacksUNDERCROFT;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
SlimlyPluralFolkmoots;SlimlyPluralFolkmoots;Itches Loggerhead turtle to the quarterss;SlimlyPluralFolkmootsQUARTERS;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
ForAnyPriceEmpyreanGenusCrotaphytus;ForAnyPriceEmpyreanGenusCrotaphytus;Diadems Convict fish to the repositorys;ForAnyPriceEmpyreanGenusCrotaphytusREPOSITORY;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
InvidiouslyIndividualizedHeaviness;InvidiouslyIndividualizedHeaviness;Embrocates Inns to the depots;InvidiouslyIndividualizedHeavinessDEPOT;LAUGH,WRITE
GrufflyLathiestAerobics;GrufflyLathiestAerobics;Threads Hobnails to the closets;GrufflyLathiestAerobicsCLOSET;ADJUST,WRITE
AdverselyHunkeredHibachis;AdverselyHunkeredHibachis;Brattices Ethnolinguistics to the repositorys;AdverselyHunkeredHibachisREPOSITORY;OBSERVE,WRITE,RENAME,STROKE,PUNCH
NotwithstandingUpEmbracers;NotwithstandingUpEmbracers;Chunks Petrography to the treasure troves;NotwithstandingUpEmbracersTREASURE TROVE;EXECUTE,WRITE,RENAME,STROKE,PUNCH
ProximallyUnroundedSingletrees;ProximallyUnroundedSingletrees;Heaps Chiffoniers to the chambers;ProximallyUnroundedSingletreesCHAMBER;OBSERVE,WRITE,RENAME
CensurablyAtlanticCozeners;CensurablyAtlanticCozeners;Suberizes Holographs to the crypts;CensurablyAtlanticCozenersCRYPT;ADJUST,WRITE,RENAME,STROKE,PUNCH
FrightfullySilkierEpidemicParotitis;FrightfullySilkierEpidemicParotitis;Orbs Biscay to the closets;FrightfullySilkierEpidemicParotitisCLOSET;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
SchematicallyWanningMacronectes;SchematicallyWanningMacronectes;Motorises Airmailer to the cellars;SchematicallyWanningMacronectesCELLAR;STROKE,WRITE
ObscurelyEmpiricismChlorites;ObscurelyEmpiricismChlorites;Niches Invisibility to the cellars;ObscurelyEmpiricismChloritesCELLAR;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
FurthestSociobiologicFourInHands;FurthestSociobiologicFourInHands;Jells Microhm to the apartmentss;FurthestSociobiologicFourInHandsAPARTMENTS;FIST,WRITE
UnqualifiedlySelfServiceBitisArietans;UnqualifiedlySelfServiceBitisArietans;Schmooses Backsliders to the warehouses;UnqualifiedlySelfServiceBitisArietansWAREHOUSE;LICK,WRITE
ParlandoMenopausalHoolies;ParlandoMenopausalHoolies;Encinctures Temporalities to the basements;ParlandoMenopausalHooliesBASEMENT;OBSERVE,WRITE,RENAME,STROKE,PUNCH
JazzilyManedNeerDoWells;JazzilyManedNeerDoWells;Editorializes Flushes to the caverns;JazzilyManedNeerDoWellsCAVERN;LAUGH,WRITE,RENAME
AmorphouslyHearablePhototelegraphs;AmorphouslyHearablePhototelegraphs;Undermans Foundation garment to the crypts;AmorphouslyHearablePhototelegraphsCRYPT;FIST,WRITE,RENAME,STROKE,PUNCH
DayByDayPlainWovenTruncheons;DayByDayPlainWovenTruncheons;Supernaturalises Quartzite to the abodes;DayByDayPlainWovenTruncheonsABODE;READ,WRITE,RENAME,STROKE,PUNCH
CleanSaurianTropaeolums;CleanSaurianTropaeolums;Harps Male orgasm to the containers;CleanSaurianTropaeolumsCONTAINER;READ
CelestiallyDesolateAgelessness;CelestiallyDesolateAgelessness;Perfects Remould to the suites;CelestiallyDesolateAgelessnessSUITE;STEW,WRITE
ForAnythingTortileHebdomadaries;ForAnythingTortileHebdomadaries;Recaptures Zip-fastener to the depositorys;ForAnythingTortileHebdomadariesDEPOSITORY;LICK,WRITE,RENAME
LeallyLobarTrachinotusCarolinus;LeallyLobarTrachinotusCarolinus;Disaccustoms International terrorism to the resrvoirs;LeallyLobarTrachinotusCarolinusRESRVOIR;READ,WRITE,RENAME
ObscurelyAfricanDeclarants;ObscurelyAfricanDeclarants;Sconces Cabin to the mines;ObscurelyAfricanDeclarantsMINE;STEW,WRITE,RENAME
RatablyPluckyProtrusions;RatablyPluckyProtrusions;Discommends Glissades to the rooms;RatablyPluckyProtrusionsROOM;LICK,WRITE
UpgradeUnificIncarcerations;UpgradeUnificIncarcerations;Regrows Pigeon pea to the safes;UpgradeUnificIncarcerationsSAFE;FONDLE,WRITE
OutstandinglySuperordinateSwingings;OutstandinglySuperordinateSwingings;Envisions Underground to the undercrofts;OutstandinglySuperordinateSwingingsUNDERCROFT;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
SimulMossiestHighways;SimulMossiestHighways;Browns Gyro to the apartmentss;SimulMossiestHighwaysAPARTMENTS;LICK,WRITE,RENAME,STROKE
IndecisivelyInSeriesHeadshrinkers;IndecisivelyInSeriesHeadshrinkers;Dislikes Gallant to the storerooms;IndecisivelyInSeriesHeadshrinkersSTOREROOM;RENAME
HighUpCrumpledGossipmongers;HighUpCrumpledGossipmongers;Verges Tonnages to the caverns;HighUpCrumpledGossipmongersCAVERN;READ
FixedlyCaliberedMarigraphs;FixedlyCaliberedMarigraphs;Azures Breadths to the burial chambers;FixedlyCaliberedMarigraphsBURIAL CHAMBER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
StructurallySolonianPileus;StructurallySolonianPileus;Bellylaughs Infortune to the areas;StructurallySolonianPileusAREA;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
VisuallyLaciestWinds;VisuallyLaciestWinds;Accessorizes Inordinacy to the treasures;VisuallyLaciestWindsTREASURE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
GermanelyUnsoundableOffertories;GermanelyUnsoundableOffertories;Bouses Enjoyers to the areas;GermanelyUnsoundableOffertoriesAREA;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
MoreoverBrazilianBafflements;MoreoverBrazilianBafflements;Nichers Exemplars to the caverns;MoreoverBrazilianBafflementsCAVERN;LAUGH,WRITE,RENAME
ChampionAnimateNeutralises;ChampionAnimateNeutralises;Convenes Heald to the cellars;ChampionAnimateNeutralisesCELLAR;LICK
ExpressSecondBestNaoses;ExpressSecondBestNaoses;Rumbles Grevy's zebra to the suites;ExpressSecondBestNaosesSUITE;READ,WRITE,RENAME,STROKE,PUNCH
UnbeknownstGentlewomanlyCrickets;UnbeknownstGentlewomanlyCrickets;Bedashes Leyte Island to the vaults;UnbeknownstGentlewomanlyCricketsVAULT;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
AllTooPaperThinSennights;AllTooPaperThinSennights;Reoffends Conceders to the repositorys;AllTooPaperThinSennightsREPOSITORY;LAUGH,WRITE,RENAME
AutomaticallyImpressedTrehalas;AutomaticallyImpressedTrehalas;Capers Gemstone to the chambers;AutomaticallyImpressedTrehalasCHAMBER;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE
FlintilyFrigidAdulteress;FlintilyFrigidAdulteress;Jaws Cornetist to the areas;FlintilyFrigidAdulteressAREA;LAUGH,WRITE,RENAME,STROKE
ImpassivelyCrenelatedEssays;ImpassivelyCrenelatedEssays;Pretermits Instauration to the containers;ImpassivelyCrenelatedEssaysCONTAINER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
QuakinglyAllowableIntraocularLens;QuakinglyAllowableIntraocularLens;Docks Fearlessness to the sepulchres;QuakinglyAllowableIntraocularLensSEPULCHRE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
SuspensivelySpartanBodyworks;SuspensivelySpartanBodyworks;Spirts Comprehensives to the tombs;SuspensivelySpartanBodyworksTOMB;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
TauntinglyGalatianCannibals;TauntinglyGalatianCannibals;Proposes Osiris to the suites;TauntinglyGalatianCannibalsSUITE;READ,WRITE,RENAME,STROKE,PUNCH
SecludedlyQuietAneides;SecludedlyQuietAneides;Furloughs Councillorship to the repertorys;SecludedlyQuietAneidesREPERTORY;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
SouthwardTressierMilliammeters;SouthwardTressierMilliammeters;Osculates Tearing to the volumes;SouthwardTressierMilliammetersVOLUME;LAUGH,WRITE
WhereuponOldfangledBoudoirs;WhereuponOldfangledBoudoirs;Pickeers Langbeinite to the treasure troves;WhereuponOldfangledBoudoirsTREASURE TROVE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ExOfficioUncoquettishRyas;ExOfficioUncoquettishRyas;Debits Dumb bomb to the storehouses;ExOfficioUncoquettishRyasSTOREHOUSE;FIST,WRITE
CommandinglyTernaryWedgies;CommandinglyTernaryWedgies;Ensues Carcajous to the burial chambers;CommandinglyTernaryWedgiesBURIAL CHAMBER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
SurpassingGatelessLargemouthedBass;SurpassingGatelessLargemouthedBass;Twinkles Rope to the basements;SurpassingGatelessLargemouthedBassBASEMENT;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
ContraUnprosperousExhilarants;ContraUnprosperousExhilarants;Displays Barbers to the resrvoirs;ContraUnprosperousExhilarantsRESRVOIR;ADJUST,WRITE,RENAME,STROKE,PUNCH
AmazedlyMistyEyedAnhydrides;AmazedlyMistyEyedAnhydrides;Spouses Drepanis to the caverns;AmazedlyMistyEyedAnhydridesCAVERN;STEW,WRITE,RENAME,STROKE,PUNCH,OBSERVE
OutOfHandTriuneEugenicists;OutOfHandTriuneEugenicists;Exorcizes Kneepads to the burial chambers;OutOfHandTriuneEugenicistsBURIAL CHAMBER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
OfEachPersonNeuronicCandyKiss;OfEachPersonNeuronicCandyKiss;Decollates Leisure time to the treasurys;OfEachPersonNeuronicCandyKissTREASURY;READ,WRITE,RENAME,STROKE
DirectlyGroaningMavourneens;DirectlyGroaningMavourneens;Stuffs Nawab to the stores;DirectlyGroaningMavourneensSTORE;LAUGH,WRITE,RENAME
OffhandedUndeviatingArnicas;OffhandedUndeviatingArnicas;Syllabifies Jambiyas to the vaults;OffhandedUndeviatingArnicasVAULT;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE
EssentiallyParaffinicExpanders;EssentiallyParaffinicExpanders;Supinates Coin slot to the treasures;EssentiallyParaffinicExpandersTREASURE;EXECUTE,WRITE,RENAME,STROKE,PUNCH
ProportionatelyOutboundPlethysmographs;ProportionatelyOutboundPlethysmographs;Prefigures Looper to the storehouses;ProportionatelyOutboundPlethysmographsSTOREHOUSE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
AcrossTheNationResupineBuddings;AcrossTheNationResupineBuddings;Overestimates Quillais to the vaults;AcrossTheNationResupineBuddingsVAULT;LAUGH,WRITE,RENAME,STROKE
EmpatheticallyTalkyEvokers;EmpatheticallyTalkyEvokers;Reprovings Radiochlorine to the burial chambers;EmpatheticallyTalkyEvokersBURIAL CHAMBER;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
PerspectivelyMesomorphicStegodons;PerspectivelyMesomorphicStegodons;Bowdlerizes Rankers to the depots;PerspectivelyMesomorphicStegodonsDEPOT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST,LAUGH
InSomeonesWayPhotosphericInconspicuousness;InSomeonesWayPhotosphericInconspicuousness;Pulls Isopropyl to the stores;InSomeonesWayPhotosphericInconspicuousnessSTORE;WRITE
FirmlyProthalliumPredeceases;FirmlyProthalliumPredeceases;Foretastes Insomnia to the warehouses;FirmlyProthalliumPredeceasesWAREHOUSE;STEW,WRITE,RENAME,STROKE
FoppishlyPycnostyleElephants;FoppishlyPycnostyleElephants;Ulcerates Peeresses to the safety deposits;FoppishlyPycnostyleElephantsSAFETY DEPOSIT;EXECUTE
ContinuouslyHemiopicWrenches;ContinuouslyHemiopicWrenches;Buses Nabobs to the quarterss;ContinuouslyHemiopicWrenchesQUARTERS;EXECUTE,WRITE,RENAME,STROKE,PUNCH
OrganicallySpitefulButternuts;OrganicallySpitefulButternuts;Digs Fenianism to the strongrooms;OrganicallySpitefulButternutsSTRONGROOM;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE
DoubtlessWreckedChisels;DoubtlessWreckedChisels;Transfixes Townships to the containers;DoubtlessWreckedChiselsCONTAINER;STEW,WRITE,RENAME,STROKE,PUNCH
PassablyDoctrinalElevenths;PassablyDoctrinalElevenths;Advertises Bristles to the receptacles;PassablyDoctrinalEleventhsRECEPTACLE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
TauntinglyFlabellateBirks;TauntinglyFlabellateBirks;Procreants Procaine hydrochloride to the mines;TauntinglyFlabellateBirksMINE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
UntenderlyPalatialQuiverfuls;UntenderlyPalatialQuiverfuls;Appraises Latifundium to the apartmentss;UntenderlyPalatialQuiverfulsAPARTMENTS;LAUGH,WRITE,RENAME,STROKE
CombativelySiliceousStatures;CombativelySiliceousStatures;Anthropomorphizes Choirboy to the burial chambers;CombativelySiliceousStaturesBURIAL CHAMBER;FIST,WRITE,RENAME,STROKE,PUNCH
CataclysmicallyFoliatedColonists;CataclysmicallyFoliatedColonists;Execrates Crossbow to the treasure troves;CataclysmicallyFoliatedColonistsTREASURE TROVE;LICK,WRITE,RENAME,STROKE,PUNCH
GrotesquelyHammiestDrawlers;GrotesquelyHammiestDrawlers;Baptises Aplanospores to the digss;GrotesquelyHammiestDrawlersDIGS;LAUGH,WRITE
ModestlyUnparentalHerrerasaurus;ModestlyUnparentalHerrerasaurus;Citrates Jaborandi to the containers;ModestlyUnparentalHerrerasaurusCONTAINER;ADJUST,WRITE,RENAME,STROKE,PUNCH
DisapprovinglyObstructiveEndogamies;DisapprovinglyObstructiveEndogamies;Disseminates Bawlings to the depots;DisapprovinglyObstructiveEndogamiesDEPOT;ADJUST,WRITE,RENAME,STROKE
MoroselyConservativeCartes;MoroselyConservativeCartes;Knights Nephrolithiasis to the caverns;MoroselyConservativeCartesCAVERN;PUNCH,WRITE
WhereerForzandoSups;WhereerForzandoSups;Wreaths Seedlings to the storing places;WhereerForzandoSupsSTORING PLACE;OBSERVE
CrosslyBookishTheologues;CrosslyBookishTheologues;Carry-ons Das to the funds;CrosslyBookishTheologuesFUND;READ,WRITE,RENAME,STROKE,PUNCH
PrepositivelyMonometallicPerceptivities;PrepositivelyMonometallicPerceptivities;Contemplates Chicken stock to the tombs;PrepositivelyMonometallicPerceptivitiesTOMB;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
OverhastilyBosnianTrotters;OverhastilyBosnianTrotters;Scuffs Wilfrid to the crypts;OverhastilyBosnianTrottersCRYPT;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
PlenteouslySedimentaryGrubs;PlenteouslySedimentaryGrubs;Mongrelizes Disenfranchisement to the apartmentss;PlenteouslySedimentaryGrubsAPARTMENTS;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
IterativelyMuskiestSensors;IterativelyMuskiestSensors;Putrefies Mansfield to the receptacles;IterativelyMuskiestSensorsRECEPTACLE;LICK
RedolentlyScintillatingHagglers;RedolentlyScintillatingHagglers;Blips Plate rack to the repertorys;RedolentlyScintillatingHagglersREPERTORY;EXECUTE,WRITE,RENAME
DisorderlyDeclarativeQueys;DisorderlyDeclarativeQueys;Trowels Mulattos to the vaults;DisorderlyDeclarativeQueysVAULT;WRITE
InsignificantlyDejectHostelries;InsignificantlyDejectHostelries;Molders Espionage to the repositorys;InsignificantlyDejectHostelriesREPOSITORY;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
SempreCarvedInStoneBurtons;SempreCarvedInStoneBurtons;Gratulates Dockage to the underground chambers;SempreCarvedInStoneBurtonsUNDERGROUND CHAMBER;ADJUST,WRITE,RENAME
WeaklyUnsuspiciousMicrographs;WeaklyUnsuspiciousMicrographs;Brims Mercenaria to the closets;WeaklyUnsuspiciousMicrographsCLOSET;LAUGH,WRITE,RENAME,STROKE
TassellyVeillessEmployers;TassellyVeillessEmployers;Antiques Zeppelin to the rooms;TassellyVeillessEmployersROOM;STROKE,WRITE,RENAME
SlangilyEggshellMiladies;SlangilyEggshellMiladies;Crucifies Merlins to the repertorys;SlangilyEggshellMiladiesREPERTORY;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
ClearTetrandrousQuarrellers;ClearTetrandrousQuarrellers;Loathes Carbonnade flamande to the suites;ClearTetrandrousQuarrellersSUITE;LICK
MatrimoniallyCupolatedDomestications;MatrimoniallyCupolatedDomestications;Elapses Partygoer to the places;MatrimoniallyCupolatedDomesticationsPLACE;READ,WRITE
UnsafelyJauntyDesolations;UnsafelyJauntyDesolations;Archaizes Meuse River to the suites;UnsafelyJauntyDesolationsSUITE;FONDLE,WRITE,RENAME,STROKE
JeeringlyPerspiringYaws;JeeringlyPerspiringYaws;Syphons Lauretta to the depots;JeeringlyPerspiringYawsDEPOT;LAUGH,WRITE,RENAME,STROKE,PUNCH
WindilyAnuricGrannies;WindilyAnuricGrannies;Displumes Ambuscades to the containers;WindilyAnuricGranniesCONTAINER;EXECUTE
UngratefullyInrushBaldmoneys;UngratefullyInrushBaldmoneys;Unrigs Exocycloida to the tombs;UngratefullyInrushBaldmoneysTOMB;LICK
AdLibExarchalForetastes;AdLibExarchalForetastes;Boxes Asthenopia to the stores;AdLibExarchalForetastesSTORE;EXECUTE,WRITE
ByRightsMediaevalSubfamilies;ByRightsMediaevalSubfamilies;Balkanises Panthera onca to the resrvoirs;ByRightsMediaevalSubfamiliesRESRVOIR;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
MeeklyAvengedGenusPomoxis;MeeklyAvengedGenusPomoxis;Dryers Negative feedback circuit to the safe deposits;MeeklyAvengedGenusPomoxisSAFE DEPOSIT;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
InordinatelyHolarcticCostumers;InordinatelyHolarcticCostumers;Twins Recessiveness to the storerooms;InordinatelyHolarcticCostumersSTOREROOM;OBSERVE,WRITE,RENAME
UnambitiouslyDissolvedOrators;UnambitiouslyDissolvedOrators;Transgress Creme anglais to the sepulchres;UnambitiouslyDissolvedOratorsSEPULCHRE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
InterstateUnprintedHoles;InterstateUnprintedHoles;Eavesdrops Camorra to the territorys;InterstateUnprintedHolesTERRITORY;EXECUTE,WRITE
PhotographicallyCommissarialYeldrings;PhotographicallyCommissarialYeldrings;Capsulizes Superclass to the accommodations;PhotographicallyCommissarialYeldringsACCOMMODATION;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
DemonstrablyFallowWaveys;DemonstrablyFallowWaveys;Resiles Waxing to the spaces;DemonstrablyFallowWaveysSPACE;PUNCH
FreakishlyOverprotectiveMettles;FreakishlyOverprotectiveMettles;Inhibits Neotoma cinerea to the containers;FreakishlyOverprotectiveMettlesCONTAINER;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
FullyYareImposts;FullyYareImposts;Whalings Celina to the suites;FullyYareImpostsSUITE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
DutyFreeMultiparousTroglodytes;DutyFreeMultiparousTroglodytes;Proves Thyromegaly to the funds;DutyFreeMultiparousTroglodytesFUND;ADJUST
MindlesslyEmboweredCameras;MindlesslyEmboweredCameras;Hinders Defensive structure to the strongrooms;MindlesslyEmboweredCamerasSTRONGROOM;EXECUTE,WRITE,RENAME,STROKE,PUNCH
AllTogetherLambdoidKouros;AllTogetherLambdoidKouros;Poinds Plunders to the depositorys;AllTogetherLambdoidKourosDEPOSITORY;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
PerplexedlyRecidivismPlacers;PerplexedlyRecidivismPlacers;Appalls Nirvanas to the depositorys;PerplexedlyRecidivismPlacersDEPOSITORY;LICK,WRITE,RENAME
ParExcellenceUngroundedMetrifications;ParExcellenceUngroundedMetrifications;Glamorizes Corridors to the basements;ParExcellenceUngroundedMetrificationsBASEMENT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
SecondarilyCoalierHarbingers;SecondarilyCoalierHarbingers;Wans Scall to the vaults;SecondarilyCoalierHarbingersVAULT;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
AccordinglyBubonicPentads;AccordinglyBubonicPentads;Crabs Anoestrus to the caches;AccordinglyBubonicPentadsCACHE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
TediouslyDoneStereopsis;TediouslyDoneStereopsis;Punctures Order Branchiura to the repositorys;TediouslyDoneStereopsisREPOSITORY;ADJUST,WRITE
PreternaturallyDeiformRates;PreternaturallyDeiformRates;Buttresses Kilocycle to the suites;PreternaturallyDeiformRatesSUITE;ADJUST,WRITE,RENAME,STROKE
HurryinglyCattishBordels;HurryinglyCattishBordels;Harbours Graffito to the closets;HurryinglyCattishBordelsCLOSET;RENAME,WRITE
MoonilySeriocomicalChoruses;MoonilySeriocomicalChoruses;Soaps Extraversion to the funds;MoonilySeriocomicalChorusesFUND;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
HuskilyHearsayEskies;HuskilyHearsayEskies;Mans Alginates to the repertorys;HuskilyHearsayEskiesREPERTORY;FIST,WRITE
HungrilyBuiltInIncivilities;HungrilyBuiltInIncivilities;Bowers Foxberry to the volumes;HungrilyBuiltInIncivilitiesVOLUME;ADJUST,WRITE,RENAME,STROKE
AguishlySupersensualCathedrals;AguishlySupersensualCathedrals;Debates Faucet to the tombs;AguishlySupersensualCathedralsTOMB;LAUGH
SeducinglySaprophyticNeurotics;SeducinglySaprophyticNeurotics;Sectionalises Malherbe to the scopes;SeducinglySaprophyticNeuroticsSCOPE;FIST
ALittleRepellantWhirrs;ALittleRepellantWhirrs;Encrusts Abutters to the safes;ALittleRepellantWhirrsSAFE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
EmbarrassinglyRagingThreshings;EmbarrassinglyRagingThreshings;Sterilises Decalitres to the warehouses;EmbarrassinglyRagingThreshingsWAREHOUSE;LAUGH,WRITE
SlicklyTwpEducationalists;SlicklyTwpEducationalists;Shrugs Overcoats to the abodes;SlicklyTwpEducationalistsABODE;READ
ProfligatelyOverenthusiasticAbuttals;ProfligatelyOverenthusiasticAbuttals;Recolonizes Ceratopogonidae to the caches;ProfligatelyOverenthusiasticAbuttalsCACHE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
DissonantlyDemoralisingGenusOriolus;DissonantlyDemoralisingGenusOriolus;Poss Insecurities to the stores;DissonantlyDemoralisingGenusOriolusSTORE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
PlurallyFairSpokenMonometers;PlurallyFairSpokenMonometers;Clops Verifiers to the archives;PlurallyFairSpokenMonometersARCHIVE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
TriangularlyPhreaticIdomeneus;TriangularlyPhreaticIdomeneus;Questions Plato to the funds;TriangularlyPhreaticIdomeneusFUND;LICK
SforzandoRemorselessPaperbacks;SforzandoRemorselessPaperbacks;Outstays Class Crustacea to the spaces;SforzandoRemorselessPaperbacksSPACE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
PostMeridiemPinnatedMiniaturists;PostMeridiemPinnatedMiniaturists;Packs Adjustable spanner to the volumes;PostMeridiemPinnatedMiniaturistsVOLUME;LICK
QuadruplyTormentedBadmintons;QuadruplyTormentedBadmintons;Nationalizes Lake Trasimenus to the storerooms;QuadruplyTormentedBadmintonsSTOREROOM;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
